iteration,value,best_value,parameters
0,374.4159954078847,374.4159954078847,"[0.22165420326983432, 0.2916062058945662, 0.4886137574574895, 0.34238186929467973, 0.2428634073163164, 4775.771759388448, 5.187769868310276]"
1,387.4034056685403,387.4034056685403,"[0.8529106180775088, 0.9385409987371962, 0.49501594656485115, 0.16146608760638548, 0.6224207670888421, 3487.4442995254485, 14.656849639189888]"
2,392.38547878331644,392.38547878331644,"[0.5798706411687028, 0.1463334155878384, 0.8816991712123401, 0.8245242137804124, 0.8212988108206345, 3485.7379845367454, 11.808982332562099]"
3,408.3747455748225,408.3747455748225,"[0.1105930618270663, 0.6981051791940146, 0.09270884298922266, 0.6437397662801272, 0.0715163920627635, 3850.639231286167, 11.523748753790372]"
4,428.3618157876027,428.3618157876027,"[0.02163566675149642, 0.6176258043597002, 0.43338416861979867, 0.8840816580608238, 0.3401834943504103, 9850.11813504186, 12.943496997434147]"
5,443.3433362415685,443.3433362415685,"[0.9162764373003432, 0.31570634052345103, 0.32477330911405533, 0.9867887089288111, 0.4623504843956504, 7860.952356603861, 51.07616882769042]"
6,455.32303473054714,455.32303473054714,"[0.24874406110751857, 0.2518329700193931, 0.561525035486618, 0.998138486655501, 0.20981981759218082, 1278.2250361240933, 59.933329973974935]"
7,561.3195938109362,561.3195938109362,"[0.36639157857634763, 0.9564714103011478, 0.5036547153535733, 0.6656407026335959, 0.9039753909664471, 6485.698662421821, 1.967322428676741]"
8,462.31192511540826,561.3195938109362,"[0.17071310429980213, 0.2449428660075732, 0.8906163879484893, 0.7965176832178396, 0.28502703648333483, 8940.039014072587, 16.26065472881372]"
9,497.3251473733136,561.3195938109362,"[0.3854173989055615, 0.31543296718483804, 0.4021520036276931, 0.5201583311503232, 0.17309054299123794, 2174.22060258075, 6.252383053668469]"
10,502.31211402533955,561.3195938109362,"[0.8463672334797242, 0.5214451057294024, 0.20058411503101958, 0.23703875591065737, 0.0018140409401100621, 5705.030343402247, 50.84950494117667]"
11,617.3094211979892,617.3094211979892,"[0.8455652720090803, 0.25348267193219165, 0.37770002445359374, 0.14447034169599093, 0.06247735740576432, 531.6748694382778, 1.8275054656597267]"
12,523.3029254696986,617.3094211979892,"[0.8363612921646157, 0.9090417497686829, 0.9055402394959123, 0.42841916036730143, 0.26127759299041275, 7195.375065598999, 52.67883588252788]"
13,532.2927826915279,617.3094211979892,"[0.5377356671511254, 0.2546784122001088, 0.48575190523548695, 0.4531599792675405, 0.398354394627341, 2795.3558758225795, 52.81967040947764]"
14,551.2845744233302,617.3094211979892,"[0.8546772502956593, 0.5296354570020254, 0.1503574414876684, 0.2889210287911007, 0.29042514435919553, 9436.526753009377, 56.630558262901545]"
15,568.2732414366309,617.3094211979892,"[0.19665028199975698, 0.294224025968858, 0.8683899443701405, 0.4138615134210397, 0.9424723248610789, 8343.771226893266, 58.48100067877876]"
16,583.2681238267303,617.3094211979892,"[0.5565565661520222, 0.7179380822936035, 0.47541734037551264, 0.1514397196241234, 0.6179804388113758, 5223.034012131018, 42.88169058720697]"
17,604.2674140410109,617.3094211979892,"[0.41177681254790266, 0.5219865742739859, 0.9571123002969026, 0.1462266331902886, 0.7424327572521818, 1743.3436645609513, 58.8429662532064]"
18,622.2597748791407,622.2597748791407,"[0.005180775876806654, 0.18241938330455554, 0.15022707401307012, 0.10297429038993389, 0.8686752268800568, 4340.2111267682185, 59.85376034288087]"
19,634.2497261364975,634.2497261364975,"[0.1619692070101163, 0.011022225809484754, 0.599612483124126, 0.31067418338485553, 0.7785008218389524, 6116.478645684427, 53.31442683175736]"
20,656.2485496659356,656.2485496659356,"[0.8822259489102025, 0.39046354707890296, 0.08291039204926198, 0.5210304624739895, 0.9422391953205964, 914.0172836923033, 4.316370417693795]"
21,731.2486068303488,731.2486068303488,"[0.13843762066002563, 0.3406058316668026, 0.015718953499973654, 0.4207610751972738, 0.6176239990050262, 7521.067425957126, 2.9434138506703156]"
22,672.250949020716,731.2486068303488,"[0.2661802311142165, 0.17232180980042322, 0.7783054186090947, 0.26150701531416354, 0.11822137400593713, 3109.056814137743, 38.875661976132136]"
23,702.2493314257657,731.2486068303488,"[0.3002150750246173, 0.9820837871473903, 0.5229043832990211, 0.6081097618889176, 0.45933488740844364, 6905.787894161977, 2.530582741830958]"
24,728.2521910272534,731.2486068303488,"[0.7259382139785517, 0.35741277742617295, 0.9433334681488242, 0.7766067732087705, 0.011038875514129742, 8667.404337066308, 12.596274743985953]"
25,722.2450893941384,731.2486068303488,"[0.5274798382905214, 0.09653955160269456, 0.22373571721006047, 0.16968416893137883, 0.30963035109615356, 252.62897069884716, 58.378959641716584]"
26,734.240907867625,734.240907867625,"[0.7854248126304613, 0.3959071754636434, 0.35033298957457426, 0.9985927015145426, 0.4603737074279104, 2490.186712686937, 10.33691009032622]"
27,763.2457038574073,763.2457038574073,"[0.08376253686471957, 0.5430269806198907, 0.6010158125342996, 0.013062917874073321, 0.9408345750658067, 9987.463922092298, 31.77313733590693]"
28,846.2479168558981,846.2479168558981,"[0.9502602752328239, 0.4349985946863004, 0.7345839575714116, 0.6034269482901372, 0.5534275304515492, 5431.961613011274, 4.705828350194745]"
29,861.2472080364319,861.2472080364319,"[0.5792795871031019, 0.3439205737064034, 0.2292989904232442, 0.407406509762378, 0.17152018024529614, 4119.616255001269, 2.706648119373738]"
30,807.2454571312741,861.2472080364319,"[0.7295164672356639, 0.7913011951793291, 0.12605347007055256, 0.15681942448229969, 0.8271514296012288, 1550.5689938550715, 3.061125721267599]"
31,896.2464504798819,896.2464504798819,"[0.604864033556064, 0.09228474193836345, 0.19632025944216758, 0.13215108561274702, 0.6197284807069261, 8100.764480931294, 1.1019695666619422]"
32,812.2427298145936,896.2464504798819,"[0.8060910855513331, 0.6360958290208486, 0.08211910599574423, 0.6204767308002338, 0.010263923937425479, 9221.896840625288, 11.970277329863661]"
33,817.2405884524092,896.2464504798819,"[0.8770679570300342, 0.9187197949126905, 0.7890273583301166, 0.7912105345912892, 0.6269742838018126, 6650.455709508781, 58.12950052482021]"
